Table: HNA
Destination	Gateway
10.31.11.128/25	10.31.11.65
10.31.11.64/30	10.31.11.65
10.31.11.68/30	10.31.11.65
10.31.11.72/30	10.31.11.65
10.31.11.76/30	10.31.11.65
10.31.11.96/29	10.31.11.65
10.31.11.84/30	10.31.11.65
10.31.11.88/30	10.31.11.65
10.31.11.92/30	10.31.11.65
10.230.69.224/29	10.230.69.193
10.230.70.0/24	10.230.69.193
10.230.23.152/29	10.230.23.141
10.31.119.80/28	10.31.97.54
10.36.114.48/28	10.31.45.78
10.31.106.64/27	10.31.30.155
10.31.106.128/25	10.31.30.155
10.230.74.224/28	10.31.13.208
10.31.52.204/30	10.31.13.208
10.31.74.104/30	10.31.13.208
10.31.110.96/27	10.31.13.208
10.230.64.128/28	10.31.12.192
10.230.66.0/30	10.31.12.192
10.31.103.128/25	10.31.26.186
10.31.102.96/27	10.31.26.186
10.31.110.64/28	10.31.108.144
10.36.177.32/28	10.31.35.212
10.36.90.224/27	10.31.29.65
10.230.5.0/24	10.230.3.161
10.230.3.160/30	10.230.3.161
10.230.39.0/24	10.31.8.97
10.36.158.32/27	10.31.35.64
10.36.125.32/27	10.31.32.17
10.31.83.48/29	10.31.83.56
10.230.181.128/25	10.36.44.212
10.31.120.0/24	10.31.74.220
10.31.75.32/28	10.31.74.220
10.31.84.128/26	10.31.52.237
10.31.93.128/26	10.31.52.237
10.31.84.192/28	10.31.52.237
10.31.127.128/29	10.31.127.160
10.230.106.16/28	10.31.14.203
10.31.91.176/28	10.31.79.121
10.230.194.64/28	10.31.48.250
10.230.16.160/27	10.32.1.165
10.31.121.48/28	10.31.109.79
10.230.20.0/28	10.230.20.14
10.230.20.32/30	10.230.20.14
10.230.20.36/30	10.230.20.14
10.230.20.40/30	10.230.20.14
10.36.190.176/28	10.230.210.104
10.36.164.64/27	10.230.210.104
10.31.124.32/28	10.230.210.104
10.36.218.64/27	10.31.40.201
10.36.217.108/30	10.31.40.201
10.31.91.32/27	10.31.79.64
10.31.119.32/28	10.31.108.220
10.230.18.32/27	10.230.18.186
10.36.248.128/27	10.36.197.24
10.30.97.32/27	10.30.96.4
10.36.151.96/27	10.31.34.184
10.31.123.160/27	10.31.119.23
10.36.198.96/27	10.31.48.193
10.31.108.0/28	10.31.104.217
10.31.87.224/27	10.31.87.122
10.36.222.0/23	10.230.210.97
10.230.210.96/30	10.230.210.97
10.36.124.224/27	10.31.32.11
10.230.6.80/28	10.31.0.127
10.230.3.0/29	10.230.3.1
10.230.3.8/30	10.230.3.1
10.230.3.12/30	10.230.3.1
10.230.3.16/30	10.230.3.1
10.230.3.20/30	10.230.3.1
10.230.3.24/30	10.230.3.1
10.230.3.28/30	10.230.3.1
10.230.3.32/30	10.230.3.1
10.230.3.36/30	10.230.3.1
10.230.3.40/30	10.230.3.1
10.230.3.44/30	10.230.3.1
10.230.3.48/30	10.230.3.1
10.230.3.52/30	10.230.3.1
10.230.3.56/30	10.230.3.1
10.230.242.140/30	10.230.3.1
10.230.52.184/29	10.230.3.1
10.36.35.84/30	10.230.3.1
10.36.5.96/27	10.31.29.129
10.230.210.192/27	10.31.22.107
10.31.101.0/24	10.36.197.60
10.31.74.224/28	10.31.52.227
10.31.52.232/30	10.31.52.227
10.230.234.224/27	10.36.197.204
10.230.111.0/26	10.230.38.209
10.230.15.224/27	10.31.0.241
10.36.73.192/26	10.36.73.193
10.36.51.208/28	10.31.54.231
10.36.224.16/28	10.31.40.233
10.31.76.128/25	10.31.80.162
10.230.147.144/28	10.31.18.254
10.31.75.0/28	10.31.74.213
10.31.67.64/28	10.31.66.104
10.31.82.192/28	10.31.82.133
10.31.95.128/27	10.31.51.151
10.31.83.112/28	10.31.83.60
10.31.83.192/26	10.31.83.60
10.31.128.0/23	10.31.126.128
10.31.126.0/25	10.31.126.128
10.30.98.192/27	10.30.96.27
10.36.107.112/28	10.31.39.113
10.230.146.176/30	10.31.39.113
10.36.128.96/27	10.31.30.225
10.31.94.0/24	10.31.80.166
10.31.77.208/29	10.31.77.217
10.230.30.192/28	10.36.197.214
10.230.55.32/27	10.230.51.101
10.36.137.0/24	10.36.137.1
10.36.204.8/29	10.36.137.1
10.230.113.160/28	10.31.15.1
10.230.20.128/26	10.230.20.18
10.230.0.64/27	10.31.0.92
10.36.152.96/27	10.31.34.213
10.31.85.192/27	10.31.85.54
10.36.90.64/27	10.36.197.107
10.230.23.160/27	10.31.23.158
10.230.19.128/28	10.36.197.37
10.36.161.192/27	10.36.124.5
10.36.124.4/30	10.36.124.5
10.230.149.96/28	10.31.28.58
10.230.117.48/28	10.31.15.184
10.31.119.224/28	10.31.109.73
10.31.104.224/28	10.31.38.211
10.36.97.96/27	10.31.37.211
10.36.138.0/24	10.230.18.185
10.230.18.0/28	10.230.18.185
10.230.18.160/30	10.230.18.185
10.230.18.164/30	10.230.18.185
10.230.18.168/30	10.230.18.185
10.230.18.172/30	10.230.18.185
10.230.18.176/30	10.230.18.185
10.230.18.180/30	10.230.18.185
10.36.53.128/28	10.31.26.24
10.230.68.192/27	10.31.13.48
10.31.96.224/28	10.31.96.111
10.36.86.208/28	10.31.52.61
10.31.108.192/28	10.31.108.109
10.36.147.64/27	10.31.34.60
10.230.120.128/25	10.230.119.233
10.36.211.64/26	10.36.154.33
10.36.154.32/30	10.36.154.33
10.230.133.144/28	10.31.18.103
10.36.247.208/28	10.31.44.132
10.36.43.0/27	10.31.25.176
10.36.93.0/26	10.31.25.176
